id,titolo,descrizione,programma,tipo,stato,data_apertura,data_chiusura,budget_totale,contributo_max,beneficiari,settore,keywords,ente,link
,Network of Li-ion cell pilot lines,"Building a Low-Carbon, Climate Resilient Future: Next-Generation Batteries",31045243,1,31094503,2019-01-24T00:00:00.000+0000,2019-04-25T00:00:00.000+0000,,,,,"Electrochemistry, batteries and fuel cells, Smart manufacturing, Energy storage, Energy Efficiency, Automotive",H2020-LC-BAT-2019-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,"Increased robotics capabilities demonstrated in key sectors (AI, Data and Robotics Partnership) (IA)",Digital and emerging technologies for competitiveness and fit for the green deal,43108390,1,31094503,2022-06-16T00:00:00.000+0000,2022-11-16T00:00:00.000+0000,,,,,"Robotics and automatic control, Electrical and electronic engineering, Co-programmed European Partnerships, Social sciences and humanities, Artificial intelligence, intelligent systems, mult",HORIZON-CL4-2022-DIGITAL-EMERGING-02,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Electronic Smart Systems (ESS),Information and Communication Technologies,31045243,1,31094503,2017-10-31T00:00:00.000+0000,2018-04-17T00:00:00.000+0000,,,,,"Mechatronics, International cooperation, Food biotechnology, Sensor Technology and Components, Systems engineering, sensorics, actorics, automati",H2020-ICT-2018-20,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Design and Manufacturing of an Advanced Wing Structure for Rotorcraft Additional Lift,Clean Sky 2 Call for Core Partners Wave 1,31045243,1,31094503,2014-07-09T00:00:00.000+0000,2014-11-05T00:00:00.000+0000,,,,,"Manufacturing of helicopters, BTT2 Advanced design technologies, FGT Flight/ Ground Tests, AMP Advanced Manufacturing Processes & Technologie, Flight",H2020-CS2-CPW01-2014-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Global competitiveness of automotive supply chain management,MOBILITY for GROWTH 2014-2015,31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-03-18T00:00:00.000+0000,,,,,"International cooperation, Design-Manufacturing, Smart manufacturing, Automotive engineering, Automation and control systems",H2020-MG-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Transparent & Accessible Seas and Oceans: Towards a Digital Twin of the Ocean,"Building a low-carbon, climate resilient future: Research and innovation in support of the European Green Deal",31045243,1,31094503,2020-09-22T00:00:00.000+0000,2021-01-27T00:00:00.000+0000,,,,,"Cloud computing, Big data, Geological oceanography, Open Science, Climatic research",H2020-LC-GD-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Coordinated approaches to funding and promotion of research and innovation for the circular economy,Greening the economy in line with the Sustainable Development Goals (SDGs),31045243,1,31094503,2017-11-07T00:00:00.000+0000,2018-02-27T00:00:00.000+0000,,,,,"Political systems and institutions, governance, Circular economy, Sustainable design (for recycling, for environment, Service innovation, Development, economic growth",H2020-SC5-2018-2019-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Science diplomacy for EU neighbourhood policies ,ENGAGING TOGETHER GLOBALLY,31045243,1,31094503,2016-10-04T00:00:00.000+0000,2017-02-02T00:00:00.000+0000,,,,,"Common Foreign Security Policy (CFSP), International relations, (scientific) culture, Foresight / Forecast, (science) communication",H2020-SC6-ENG-GLOBALLY-2016-2017,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Innovating SMEs - segmentation along lifecycle and sectors (analytical research activity),For a better innovation support to SMEs,31045243,1,31094503,2016-11-08T00:00:00.000+0000,2017-03-28T00:00:00.000+0000,,,,,"SME support, Business analysis, Related to SME and start-up support, Industrial innovation policy, Innovation in SME",H2020-INNOSUP-2016-2017,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Sustainable processing and refining of battery grade graphite (Batteries Partnership),Cross-sectoral solutions for the climate transition,43108390,1,31094503,2022-04-28T00:00:00.000+0000,2022-09-06T00:00:00.000+0000,,,,,"Digital Agenda, Artificial Intelligence, Electrical engineering, Electronic engineering, In, Co-programmed European Partnerships, Materials engineering",HORIZON-CL5-2022-D2-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Next generation movables for high speed aircraft.,Clean Sky 2 Call for Core partners Wave 3,31045243,1,31094503,2015-10-22T00:00:00.000+0000,2016-02-04T00:00:00.000+0000,,,,,,H2020-CS2-CPW03-2015-02,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,EUROPEAN INCUBATION NETWORKS FOR CCIs - TOURISM,EUROPEAN INCUBATION NETWORKS FOR CREATIVITY-DRIVEN INNOVATION,31059643,1,31094503,2017-07-13T00:00:00.000+0000,2017-10-19T00:00:00.000+0000,,,,,,COS-EINET-2017-3-04,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Towards more inclusive networks and initiatives in European innovation ecosystems,Interconnected Innovation Ecosystems (2022.1),43108390,1,31094503,2022-01-11T00:00:00.000+0000,2022-04-26T00:00:00.000+0000,,,,,"Marketing management, Training and support, Business coaching and mentoring, Innovation systems, Knowledge management",HORIZON-EIE-2022-CONNECT-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Diversifying the EU tourism offer and products – Promoting transnational thematic tourism products,Supporting Competitive and Sustainable Growth in the Tourism Sector,31059643,1,31094503,2015-04-30T00:00:00.000+0000,2015-06-30T00:00:00.000+0000,,,,,,COS-TOUR-2015-3-04,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Disruptive Active Flow Control for aircraft engine applications,Clean Sky,31045243,1,31094503,2019-05-21T00:00:00.000+0000,2019-09-03T00:00:00.000+0000,,,,,,H2020-CS2-CFP10-2019-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,New Efficient production methods for 94 GHz (W-band) waveguide antennas,Clean Sky,31045243,1,31094503,2019-05-21T00:00:00.000+0000,2019-09-03T00:00:00.000+0000,,,,,,H2020-CS2-CFP10-2019-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Grey Water Container with Reduced Biofilm Growth,Clean Sky,31045243,1,31094503,2019-05-21T00:00:00.000+0000,2019-09-03T00:00:00.000+0000,,,,,,H2020-CS2-CFP10-2019-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Environment,Technical Assistance,31107710,1,31094503,2019-04-11T00:00:00.000+0000,2019-06-12T00:00:00.000+0000,,,,,"River basin management , Waste, Air quality, Environment, LIFE",LIFE-TA-2019,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Partnerships for Innovation - Forward-Looking Projects - Adult learning,Partnerships for Innovation - Forward Looking Projects,43353764,1,31094503,2022-11-29T00:00:00.000+0000,2023-03-15T00:00:00.000+0000,,,,,"L3P7 Supporting the Pact4Skills, L3P6 National registries of training opportunities",ERASMUS-EDU-2023-PI-FORWARD,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Networking and coordination of national HPC Competence Centres and Centres of Excellence,National Competence Centres for High Performance Computing,43152860,1,31094503,2022-04-20T00:00:00.000+0000,2022-06-28T00:00:00.000+0000,,,,,"Sme Business Development, IT skills and competence, SME support, High-performance computing (HPC), high performance computing",DIGITAL-EUROHPC-JU-2022-NCC-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Partnerships for Innovation - Forward-Looking Projects - Digital education (cross-sectoral),Partnerships for Innovation - Forward Looking Projects,43353764,1,31094503,2022-11-29T00:00:00.000+0000,2023-03-15T00:00:00.000+0000,,,,,"L1P3 Digital literacy / tackling disinformation, L1P2 Informatics pedagogical approaches in schools, L1P1 Education technology",ERASMUS-EDU-2023-PI-FORWARD,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Digitalisation and automation enabling new railway services for passengers and freight,EU-RAIL JU Call Proposals 2022-02,43108390,1,31094503,2022-09-13T00:00:00.000+0000,2022-12-14T00:00:00.000+0000,,,,,"Sustainable transport, Automation, Freight and logistics, Railway, Rail Services",HORIZON-ER-JU-2022-02,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Vapor Cycle System - Heat Exchanger performance 3D modeling with different new low GWP refrigerants,Clean Sky,31045243,1,31094503,2019-05-21T00:00:00.000+0000,2019-09-03T00:00:00.000+0000,,,,,,H2020-CS2-CFP10-2019-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Experimental and numerical noise assessment of distributed propulsion configurations,Clean Sky,31045243,1,31094503,2019-05-21T00:00:00.000+0000,2019-09-03T00:00:00.000+0000,,,,,,H2020-CS2-CFP10-2019-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Virtual Centre,SESAR 2020 IR-VLD WAVE 3,31045243,1,31094503,2020-03-31T00:00:00.000+0000,2020-06-25T00:00:00.000+0000,,,,,"Virtual center, ATM",H2020-SESAR-2020-2,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Integrated Runway Throughput and Terminal Efficiency,SESAR 2020 IR-VLD WAVE 3,31045243,1,31094503,2020-03-31T00:00:00.000+0000,2020-06-25T00:00:00.000+0000,,,,,"Runway, Efficiency",H2020-SESAR-2020-2,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Novel bio-based chemical precursors to improve the performance of mass consumption products,BIO BASED INDUSTRIES PPP,31045243,1,31094503,2017-04-11T00:00:00.000+0000,2017-09-07T00:00:00.000+0000,,,,,"Bioproducts (products that are manufactured using, Applied and industrial chemistry, New business opportunities, Market development, Biochemical research methods",H2020-BBI-JTI-2017,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Robust  package for harsh environment and optimization of electrical characteristic of rectifier bridge using high current diode,Clean Sky 2 Call for Proposals 01,31045243,1,31094503,2014-12-16T00:00:00.000+0000,2015-03-31T00:00:00.000+0000,,,,,"EPG Electrical Power Generation & Distribution, Cross-cutting Key-Enabling Technologies (KETs), SIN Sensors integration, Rectifier bridge, Diode",H2020-CS2-CFP01-2014-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Curved stiffened panels in thermoplastics by preindustrial ISC process,Clean Sky 2 Call for Proposals 01,31045243,1,31094503,2014-12-16T00:00:00.000+0000,2015-03-31T00:00:00.000+0000,,,,,"AMP Advanced Manufacturing Processes & Technologie, Cross-cutting Key-Enabling Technologies (KETs), CMP Composite Materials & basic processes, Structure manufacturing, Thermoplastics",H2020-CS2-CFP01-2014-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Ethical/Societal Dimension Topic 1: Factors affecting (in-) security,Fight against crime and Terrorism,31045243,1,31094503,2014-03-25T00:00:00.000+0000,2014-08-28T00:00:00.000+0000,,,,,"Gender in Security, Gender, Fight against delinquency and insecurity, Security, Social sciences and humanities",H2020-FCT-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Next generation of competitive Li-ion batteries to meet customer expectations,GREEN VEHICLES 2014-2015,31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-08-28T00:00:00.000+0000,,,,,"Transport engineering, Contractual public-private partnership, Energy storage, Electrical and electronic engineering, Electrochemistry, batteries and fuel cells",H2020-GV-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Facing Societal Challenges Award,The European Innovation Procurement Awards Prize,43108390,1,31094503,2021-04-14T00:00:00.000+0000,2021-07-29T00:00:00.000+0000,,,,,,HORIZON-EIC-2021-InnovationProcurementAwardsPrize,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,STRAND 1 – Enhance cooperation among the trade promotion organisations and with the European Commission (setting up a European agenda),Cooperation with the European Trade Promotion Organisations active in business internationalisation and business missions abroad,31059643,1,31094503,2015-03-10T00:00:00.000+0000,2015-04-09T00:00:00.000+0000,,,,,,COS-ETPO-2015-2-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Enterprise Europe Network,Enterprise Europe Network,43252476,1,31094503,2021-05-11T00:00:00.000+0000,2021-08-11T00:00:00.000+0000,,,,,"brokerage events, business, sustainability, impact, visibility",SMP-COSME-2021-EEN,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Partnering for viability assessments of innovative solutions for markets outside Europe ,GOVERNANCE FOR THE FUTURE,31045243,1,31094503,2017-11-07T00:00:00.000+0000,2018-03-13T00:00:00.000+0000,,,,,"Internationalisation, Social sciences and humanities, Internationalisation - Market access, International relations, International cooperation",H2020-SC6-GOVERNANCE-2018-2019-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Erasmus+ Teacher Academies,Erasmus+ Teacher Academies,43353764,1,31094503,2023-12-05T00:00:00.000+0000,2024-06-06T00:00:00.000+0000,,,,,,ERASMUS-EDU-2024-PEX-TEACH-ACA,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Development of evidence based practical guidance for sponsors on the use of real-world data / real-world evidence,Innovative Health Initiative JU Call 6,43108390,1,31094503,2024-01-16T00:00:00.000+0000,2024-04-16T00:00:00.000+0000,,,,,"Health outcomes, Regulatory affairs, Epigenetics and gene regulation, Health data, Health technology assessment",HORIZON-JU-IHI-2024-06-two-stage,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,European Pre-Commercial Procurement Programme for Wave Energy Research &Development,"BUILDING A LOW-CARBON, CLIMATE RESILIENT FUTURE: SECURE, CLEAN AND EFFICIENT ENERGY",31045243,1,31094503,2018-11-14T00:00:00.000+0000,2019-08-27T00:00:00.000+0000,,,,,"Innovation Procurement, Blue Growth, Offshore Technologies, Ocean energy, Accelerating Clean Energy Innovation",H2020-LC-SC3-2018-2019-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth,"Horizon 2020 dedicated SME Instrument Phase 1 and 2, 2014-2015",31045243,1,31094503,2014-03-03T00:00:00.000+0000,2014-06-18T00:00:00.000+0000,,,,,"Biodiscovery of marine organisms, Environmental genomics, Feasibility analysis, SME instrument, SME support",H2020-SMEInst-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,A joint plant breeding programme to decrease the EU's and China's dependency on protein imports,Sustainable Food Security – Resilient and resource-efficient value chains,31045243,1,31094503,2015-10-27T00:00:00.000+0000,2016-02-17T00:00:00.000+0000,,,,,"International trade, Plant breeding, International cooperation, Feed crops, Plant genetics",H2020-SFS-2016-2017,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Produce bio-based functional ingredients and additives for high-end markets,H2020-BBI-JTI-2019,31045243,1,31094503,2019-04-04T00:00:00.000+0000,2019-09-04T00:00:00.000+0000,,,,,"Pharmaceuticals, Food additives, Cross-cutting Key-Enabling Technologies (KETs), Feed additives, Bioproducts (products that are manufactured using",H2020-BBI-JTI-2019,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Improve sustainability of value chains based on forest biomass and increase productivity and profitability on supply side by adapting forests to climate changes ,BIO BASED INDUSTRIES PPP,31045243,1,31094503,2016-04-19T00:00:00.000+0000,2016-09-08T00:00:00.000+0000,,,,,"Forest management planning, Forest resilience, Forestry, biomass production (e.g. for biofuels), Forestry, Forest adaptation to climate change",H2020-BBI-JTI-2016,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Space exploration – Life support,H2020-LEIT-Space-Competitiveness of the European Space Sector-2014,31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-03-26T00:00:00.000+0000,,,,,"ISS / Space stations / Manned spacecrafts, Environmental Control & Life Support Systems (ECLS, Human Exploration Spaceflight, Human health, life support, habitation systems, Demonstrating technologies",H2020-COMPET-2014,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Development of the investment casting process and weldability for high temperature capable superalloys,Clean Sky Call for Proposals 04,31045243,1,31094503,2016-06-21T00:00:00.000+0000,2016-10-05T00:00:00.000+0000,,,,,,H2020-CS2-CFP04-2016-02,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Developing support mechanisms for energy communities,LIFE-2022-CET,43252405,1,31094503,2022-05-17T00:00:00.000+0000,2022-11-16T00:00:00.000+0000,,,,,"local authorities, community energy, citizen, energy community",LIFE-2022-CET,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Aviation Climate and Technology Impact Monitoring Methodology,Clean Aviation CfP 02,43108390,1,31094503,2023-03-09T00:00:00.000+0000,2023-05-11T00:00:00.000+0000,,,,,,HORIZON-JU-Clean-Aviation-2023-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Facing the increase in cooling demand of buildings in the coming years,LIFE Clean Energy Transition,43252405,1,31094503,2021-07-13T00:00:00.000+0000,2022-01-12T00:00:00.000+0000,,,,,"strategies, buildings, support action, renewable energy, thermal comfort",LIFE-2021-CET,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Real-time yard and network management,Shift2Rail JU call for proposals 2017,31045243,1,31094503,2017-01-10T00:00:00.000+0000,2017-03-30T00:00:00.000+0000,,,,,"Rail Transport, Logistics, Freight logistics, Yard management, Rail freight",H2020-S2RJU-2017,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Supporting the cooperation between national component of the European  Border and Coast Guard (EBCG),"Call for proposals to support innovative forms of cooperation for enhancing the national components of the European Border and Coast Guard (EBCG), in particular on the implementation of the EBCG Fundamental Rights Strategy",43251530,1,31094503,2022-12-01T00:00:00.000+0000,2023-04-18T00:00:00.000+0000,,,,,"EBCG, innovative forms of cooperation, national border guards authorities, national components of EBCG",BMVI-2022-TF1-AG-EBCG,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Coal,Call of the research programme of the Research Fund for Coal and Steel - 2016,31061225,1,31094503,2016-06-15T00:00:00.000+0000,2016-09-15T00:00:00.000+0000,,,,,,RFCS-2016,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,New Innovative Aircraft Configurations and Related Issues,Clean Sky 2 Call for Core Partners Wave 1,31045243,1,31094503,2014-07-09T00:00:00.000+0000,2014-11-05T00:00:00.000+0000,,,,,"SMT Structures behaviour and Material Testing, APS Aircraft Performance Analysis, SMS Smart Materials and Structures, Cross-cutting Key-Enabling Technologies (KETs), OAP Optimisation of Aircraft Performance",H2020-CS2-CPW01-2014-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Support to the aerodynamic analysis and design of propellers of a compound helicopter,Clean Sky 2 Call for Proposals 01,31045243,1,31094503,2014-12-16T00:00:00.000+0000,2015-03-31T00:00:00.000+0000,,,,,"Cross-cutting Key-Enabling Technologies (KETs), TPA Turbomachinery / Propulsion Aerodynamics, AER Aerodynamics of External and Removable items, SAD Structural Analysis and Design, Helicopter",H2020-CS2-CFP01-2014-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
